ID;Customer_ID;Month;Name;Age;SSN;Occupation;Annual_Income;Monthly_Inhand_Salary;Num_Bank_Accounts;Num_Credit_Card;Interest_Rate;Num_of_Loan;Type_of_Loan;Delay_from_due_date;Num_of_Delayed_Payment;Changed_Credit_Limit;Num_Credit_Inquiries;Credit_Mix;Outstanding_Debt;Credit_Utilization_Ratio;Credit_History_Age;Payment_of_Min_Amount;Total_EMI_per_month;Amount_invested_monthly;Payment_Behaviour;Monthly_Balance;Credit_Score
0x160a;CUS_0xd40;September;Aaron Maashoh;24;821-00-0265;Scientist;19114,12;1824,843333;3;4;3;4;Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan;3;9;13,27;4;Good;809,98;35,03040186;22 Years and 9 Months;No;49,57494921;236,642682;Low_spent_Small_value_payments;186,2667021;
0x160b;CUS_0xd40;October;Aaron Maashoh;24;821-00-0265;Scientist;19114,12;1824,843333;3;4;3;4;Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan;3;4;12,27;4;Good;809,98;33,0531145;22 Years and 10 Months;No;49,57494921;21,46538026;High_spent_Medium_value_payments;361,4440039;
0x160c;CUS_0xd40;November;Aaron Maashoh;24;821-00-0265;Scientist;19114,12;1824,843333;3;4;3;4;Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan;-1;5;11,27;4;Good;809,98;33,81189412;23 Years and 0 Months;No;49,57494921;148,2339379;Low_spent_Medium_value_payments;264,6754462;
0x160d;CUS_0xd40;December;Aaron Maashoh;23;821-00-0265;Scientist;19114,12;1803,2575;3;4;3;4;Auto Loan, Credit-Builder Loan, Personal Loan, and Home Equity Loan;4;7;11,27;4;Good;809,98;32,43055902;23 Years and 0 Months;No;49,57494921;39,08251089;High_spent_Medium_value_payments;343,8268732;
0x18446;CUS_0xabe7;September;Weirn;26;277-94-8379;Media_Manager;19695,09;1803,2575;8;6;19;2;Auto Loan, and Not Specified;23;8;8,42;6;Standard;1450,6;35,75007612;14 Years and 10 Months;Yes;23,04177846;133,9241725;Low_spent_Small_value_payments;313,359799;
0x18447;CUS_0xabe7;October;Weirn;26;277-94-8379;Media_Manager;19695,09;1803,2575;8;6;19;2;Auto Loan, and Not Specified;20;8;8,42;6;Standard;1450,6;34,59171138;14 Years and 11 Months;Yes;23,04177846;10000;Low_spent_Medium_value_payments;385,9205272;
0x18448;CUS_0xabe7;November;Weirn;26;277-94-8379;Media_Manager;19695,09;1803,2575;8;6;19;2;Auto Loan, and Not Specified;23;8;13,42;6;Standard;1450,6;31,25030869;15 Years and 1 Months;Yes;23,04177846;10000;Low_spent_Large_value_payments;366,5976996;
0x18449;CUS_0xabe7;December;Weirn;25;277-94-8379;Media_Manager;19695,09;1803,2575;8;6;19;2;Auto Loan, and Not Specified;21;8;11,42;5;Standard;1450,6;27,47212076;15 Years and 1 Months;Yes;23,04177846;43,96805577;High_spent_Medium_value_payments;363,3159158;
0x1857e;CUS_0x9126;September;Frearsono;19;580-64-9646;Entrepreneur;19375,76;1633,646667;940;3;6;1;Not Specified;33;18;11,81;4;Standard;1053,72;29,76255071;27 Years and 9 Months;Yes;10,51161882;65,91494949;High_spent_Medium_value_payments;336,9380984;
0x1857f;CUS_0x9126;October;Frearsono;19;580-64-9646;Entrepreneur;19375,76;1633,646667;4;3;6;1;Not Specified;29;17;6,81;4;Standard;1053,72;31,64304169;27 Years and 10 Months;Yes;10,51161882;65,76154596;High_spent_Medium_value_payments;337,0915019;
0x18580;CUS_0x9126;November;Frearsono;19;580-64-9646;Entrepreneur;19375,76;1633,646667;4;3;6;1;Not Specified;29;17;11,81;6;Standard;1053,72;29,80400406;27 Years and 11 Months;Yes;10,51161882;68,40411806;High_spent_Medium_value_payments;334,4489298;
0x18581;CUS_0x9126;December;Frearsono;18;580-64-9646;Entrepreneur;19375,76;554,1316667;4;3;6;1;Not Specified;29;19;11,81;4;Standard;1053,72;30,72338522;28 Years and 0 Months;Yes;10,51161882;95,149971;Low_spent_Small_value_payments;347,7030768;
0x1858a;CUS_0x9c55;September;Sinead Carews;38;877-77-1295;Musician;8137,58;554,1316667;6;4;17;3;Personal Loan, Mortgage Loan, and Home Equity Loan;6;13;7,7;6;Standard;998,45;40,11872268;6 Years and 11 Months;Yes;14,30291411;70,70146942;Low_spent_Small_value_payments;260,4087831;
0x1858b;CUS_0x9c55;October;Sinead Carews;38;877-77-1295;Musician;8137,58;554,1316667;1582;4;17;3;Personal Loan, Mortgage Loan, and Home Equity Loan;6;13;7,7;6;Standard;998,45;33,15319729;7 Years and 0 Months;Yes;14,30291411;0;High_spent_Medium_value_payments;284,0226454;
0x1858c;CUS_0x9c55;November;Sinead Carews;38;877-77-1295;Musician;8137,58;554,1316667;6;4;17;3;Personal Loan, Mortgage Loan, and Home Equity Loan;8;16;7,7;6;Standard;998,45;34,24774498;7 Years and 1 Months;Yes;14,30291411;69,78279348;Low_spent_Small_value_payments;261,3274591;
0x1858d;CUS_0x9c55;December;Sinead Carews;37;877-77-1295;Musician;8137,58;554,1316667;6;4;17;3;Personal Loan, Mortgage Loan, and Home Equity Loan;4;13;7,7;5;Standard;998,45;26,72436869;7 Years and 2 Months;Yes;14,30291411;23,03258526;Low_spent_Medium_value_payments;298,0776673;
0x18596;CUS_0xbcf;September;Lisa Lambertm;44;420-94-4649;Lawyer;179239,6;15204,63333;5;4;1;2;Personal Loan, and Personal Loan;4;2055;4,67;4;Good;1246,12;39,60491455;19 Years and 1 Months;No;208,7973776;384,6284576;High_spent_Large_value_payments;1167,037498;
0x18597;CUS_0xbcf;October;Lisa Lambertm;44;420-94-4649;Lawyer;179239,6;15204,63333;5;4;1;2;Personal Loan, and Personal Loan;1;9;4,67;4;Good;1246,12;35,97081208;19 Years and 1 Months;No;208,7973776;265,0471793;High_spent_Large_value_payments;1286,618776;
0x18598;CUS_0xbcf;November;Lisa Lambertm;45;420-94-4649;Lawyer;179239,6;15204,63333;5;4;1;2;Personal Loan, and Personal Loan;1;11;4,67;4;Good;1246,12;33,29969862;19 Years and 2 Months;No;208,7973776;1020,757168;Low_spent_Large_value_payments;560,9087876;
0x18599;CUS_0xbcf;December;Lisa Lambertm;44;420-94-4649;Lawyer;179239,6;15204,63333;5;4;1;2;Personal Loan, and Personal Loan;1;8;-0,33;0;Good;1246,12;39,81210564;19 Years and 3 Months;No;208,7973776;1175,934207;Low_spent_Medium_value_payments;415,7317492;
0x185a2;CUS_0x610a;September;Johnsonq;52;572-99-2496;Mechanic;22171,25;1638,604167;4;5;17;3;Payday Loan, Auto Loan, and Home Equity Loan;16;21;8,6;5;Standard;1195,92;33,20191951;16 Years and 10 Months;Yes;53,61074078;33,86770114;High_spent_Large_value_payments;316,3819747;
0x185a3;CUS_0x610a;October;Johnsonq;52;572-99-2496;Mechanic;22171,25;1638,604167;4;5;17;3;Payday Loan, Auto Loan, and Home Equity Loan;16;20;15,6;5;Standard;1195,92;34,26224529;16 Years and 11 Months;Yes;53,61074078;148,2785825;Low_spent_Large_value_payments;231,9710934;
0x185a4;CUS_0x610a;November;Johnsonq;52;572-99-2496;Mechanic;22171,25;1638,604167;4;5;17;3;Payday Loan, Auto Loan, and Home Equity Loan;16;20;15,6;5;Standard;1195,92;25,59692359;17 Years and 0 Months;Yes;53,61074078;98,63020346;High_spent_Small_value_payments;271,6194724;
0x185a5;CUS_0x610a;December;Johnsonq;51;572-99-2496;Mechanic;22171,25;1638,604167;4;5;17;3;Payday Loan, Auto Loan, and Home Equity Loan;16;20;15,6;0;Standard;1195,92;29,32287869;16 Years and 2 Months;Yes;53,61074078;80,3905069;High_spent_Small_value_payments;289,859169;
0x185ae;CUS_0xbd2c;September;Paul Carrelf;44;064-72-7992;Scientist;29647,92;2329,66;6;4;19;4;Home Equity Loan, Personal Loan, Auto Loan, and Auto Loan;7;10;10,9;10;Standard;516,42;27,22324429;18 Years and 1 Months;Yes;82,41882696;110,0022453;Low_spent_Small_value_payments;330,5449277;
